Description,Price
"I am looking at a used 2013 Holden Cruze CD Equipe. It features a 1.8 L, 4 cyl engine, automatic, and has covered 106722 km.",10800
"I have a 2018 Isuzu MU-X LS-U, white with grey interior. It's a 4-cylinder, 3 L diesel, automatic, with 72650 km.",39880
"I am looking at a used 2015 Kia Cerato S. This silver interior features a 1.8 L, 4 cyl engine, automatic, and has covered 123624 km.",14995
"I am looking at a 2014 Lexus IS350 F Sport, automatic, 3.5L 6 cyl engine, rear drive, silver with black interior, used with 155620 km.",27990
"I am looking at a used 2018 Mazda 2 Maxx 2 hatchback, white with a black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has 55,676 km.",22990
"I am looking at a 2009 Toyota Corolla Levin ZR, a silver hatchback with automatic transmission, 1.8 L, 4 cyl engine, and 114727 km driven.",14995
"I am looking at a used 2016 Toyota Kluger GXL, grey with a black interior. It's got a 3.5L engine, automatic transmission, and has covered 98983 km.",39280
"I have a 2007 Volkswagen Golf GTI, a sleek hatchback. It's an automatic with a 2 L, 4-cylinder engine, grey interior, and has 160523 km on the odometer.",10990
"I have a 2015 Holden Commodore SS-V Redline, white with black interior. It's an automatic with a 6 L, 8 cyl engine, rear drive, and has 96000 km on the odometer.",47990
"There is a used 2016 Nissan X-Trail ST in red, featuring an automatic gearbox, a 2.5L engine, and 39397 km on the odometer.",23950
"I have a 2020 Hyundai I30 hatchback, white hatchback, automatic transmission, 2 L, 4 cyl engine, with 55,676 km on the odometer.",26990
"There is a used 2014 Holden Cruze Equipe in silver, a 4-cylinder, 1.8-liter engine, 5-door hatchback with 220683 km on the meter.",7990
"I am looking at a used 2013 Toyota Camry Atara S. This grey exterior features a black interior, 2.5L 4 cyl engine, automatic, and has clocked 89140 km.",17900
"I am looking at a red Toyota Corolla Ascent, a hatchback with black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has done 149974 km.",16990
"I am looking at a white 2019 Hyundai I30 Active. It's a hatchback with an automatic transmission, 2 L, 4 cyl engine, and 4 doors, 5 seats.",26990
"I am looking at a used 2016 Mazda BT-50 XT, white, diesel. It features a 3.2L engine, automatic, and has covered 110909 km.",34913
"I have a 2013 Toyota Corolla Ascent, a white hatchback with black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked only 109519 km.",19990
"It's a 2020 Kia Stinger GT, grey with a red interior, used. Features include an automatic transmission, 3.3 L, 6 cyl engine, rear drive, and only 19372 km on the clock.",55888
"I am looking at a used 2015 Toyota RAV4 GXL, silver SUV with an automatic transmission. It's equipped with a 2.5L engine and has done 155198 km.",24950
"I am looking at a 2012 Honda Jazz Vibe, a green hatchback with automatic transmission, 1.3 L, 4 cyl engine, and 111323 km on the clock.",12800
"I have a 2017 BMW 430I Gran Coupe M Sport, 2L 4 cyl, automatic, rear-wheel drive, grey color, Beige interior, used with 79882 km driven.",41280
"I have a 2008 Volkswagen Golf GTI, a hatchback with a black interior. It's an automatic with a 2 L, 4-cylinder engine, and has 155839 km on the odometer.",13990
"I am looking at a used 2018 Subaru Outback 2.5I Premium. It features a 2.5L 4-cylinder engine, automatic, and AWD. It's clocked 66805 km.",33898
"I am looking at a used 2011 Ford Territory TX, silver. It features a 2.7 L, 6 cyl diesel engine, automatic, and has covered 226,646 km.",8913
"I am looking at a 2013 Kia RIO S, a silver hatchback with automatic transmission, 1.4 L, 4 cyl engine, and 88465 km on the clock.",14888
"There is a used 2013 Holden Commodore SV6 Z-Series in blue, featuring an automatic gearbox, 3.6 L engine, rear drive, and 237426 km on the odometer.",15995
"I have a 1999 Toyota Landcruiser, white with grey interior. It's a 6-cylinder, 4.2L diesel, with 4WD, and has clocked 3 doors.",48999
"I am looking at a used 2013 Toyota Hilux SR, white, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 345194 km.",12990
"I am looking at a red Toyota Corolla ZR, a used hatchback. It features a 1.8 L, 4 cyl engine, automatic, and has covered 130970 km.",23990
"I have a 2016 Honda Civic VTI-L, a white 2016 Honda Civic, with a black interior. It's an automatic, front-wheel drive, and has 35612 km on the odometer.",24888
"A 2013 Audi A3 Sportback, brown with grey interior, hatchback. Features an automatic transmission, 1.8 L, 4 cyl engine, and 148265 km on the clock.",13999
"I am looking at a 2018 Hyundai I30 N Line, a black hatchback with leather interior. It's an automatic with a 1.6 L, 4 cyl engine, and has 83494 km on the odometer.",27950
"I have a 2012 Mazda 2 Genki, a hatchback in silver with an automatic transmission. It's an automatic with a 1.5 L, 4 cyl engine, and has clocked 85492 km.",13990
"I have a 2013 Volkswagen Tiguan 155 TSI, a sleek grey SUV. It's an automatic with a black interior, and has clocked 126408 km.",19999
"I am looking at a used 2017 Renault Trafic LWB, white, diesel. It features a 1.6 L, 4 cyl engine, automatic, and has covered 3 seats.",22950
"I am looking at a 2013 Peugeot 208 GTI, a grey hatchback with black interior. It's an automatic with a 1.6 L, 4 cyl engine, and has 78783 km.",14990
"There is a used 2020 Land Rover Range Rover Evoque, black with a black interior. Featuring a 2L diesel engine, automatic transmission, AWD, and a total of 26227 km.",69800
"I have a 2017 Honda HR-V VTI, a sleek black SUV. It's an automatic with a 1.8L engine, and has clocked only 101821 km.",20995
"I have a 2014 Mitsubishi Triton GLX, a white 2014 Mitsubishi Triton GLX, used. It's a diesel, automatic, with a 2.5 L, 4-cylinder engine, and has covered 229,829 km.",14413
"I have a 2015 Nissan Pulsar ST, a white 2015 Nissan Pulsar ST, used. It's an automatic with a 1.8 L, 4 cyl engine, and has 90691 km on the odometer.",14776
"It's a 2018 Mazda 6 Touring, blue, with a 2.5 L, 4-cylinder engine, front-wheel drive, and has 24305 km on the odometer.",29990
"I have a 2007 Audi A4 2.0 Tfsi, a sleek silver exterior. It's an automatic with a black interior, 2L 4 cyl engine, and has clocked 168901 km.",7950
"I am looking at a 2005 Honda Accord VTI, a gold Honda Accord, 4-cylinder, 2.4-liter engine, automatic, with 16,7562 km on it.",7949
"I have a 2016 Audi SQ5 3.0 TDI Quattro, grey with a grey interior. It's a 6-cylinder, 3 L diesel, automatic, with 152995 km.",29999
"I have a 2007 Toyota Corolla Ascent, a sleek silver exterior. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 236946 km.",8880
"I am looking at a used 2011 Holden Commodore SV6. Silver with a 3.6 L, 6 cyl engine, rear drive, automatic, and 183580 km on the clock.",12990
"I have a 2005 Mercedes-Benz CLK-Class, 3.5i, black, used. It's an automatic, unspecified engine size, with 180499 km.",9999
"There is a used 2015 Nissan X-Trail TL in red, diesel-powered. It's an automatic with a 1.6 L, 4 cyl engine, and has done 124882 km.",19888
"I am looking at a 2005 Mazda 6 Classic, a gold Mazda. It's a 4-cylinder, 2.3 L engine, front-wheel drive, and has 247519 km.",5950
"I have a 2021 Audi Q3 35 Tfsi, a blue SUV with black interior. It's an automatic with a 1.4 L, 4 cyl engine, and has clocked 9819 km.",51990
"I am looking at a black 2004 Lexus IS300 Sedan, used. It comes with an automatic gearbox, 3 L, 4 cyl engine, rear drive, and has done 124230 km.",16000
"I have a 2020 Mitsubishi Triton GLX, a white 2020 Mitsubishi Triton GLX, used. It's a diesel with an automatic transmission, 2.4 L, 4 cyl engine, and 229,839 km.",33990
"I have a 2012 Hyundai I30 Active, a hatchback in silver with an automatic transmission. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 106286 km.",16990
"I have a 2011 Mercedes-Benz C-CLASS W204 Elegance Sedan, black exterior. It's an automatic, unspecified engine size, with 167420 km.",15999
"I have a 2018 Toyota Kluger GX, a white 2018 Toyota Kluger GX, used. It's an automatic with a 3.5L engine, front-wheel drive, and has clocked 128601 km.",36888
"I have a 2011 Subaru Outback 3.6R Premium, black exterior, black interior, 3.6L 6 cyl engine, automatic, with 91016 km, a used gem.",16999
"I have a 2014 Jaguar XF 2.2D Premium Luxury, 2.2L 4 cyl diesel engine, rear drive, automatic, with 38821 km, a used gem.",29800
"I have a 2015 Nissan X-Trail ST-L, white SUV with a black interior. It's an automatic with a 2.5L engine, front-wheel drive, and has 94239 km on the odometer.",22990
"A 2013 Ford Ranger XLT 3.2L diesel engine, white with a black interior, 3.2L diesel engine, automatic transmission, and 167122 km on the clock.",23913
"I have a 2004 Honda Accord Euro Luxury, a sleek silver exterior. It's an automatic with a 2.4 L, 4 cyl engine, and has clocked 207966 km.",8990
"A 2017 Ford Ranger XL 3.2L diesel engine, used, with a mileage of 3.2L 4WD. It's an automatic with 229,767 km on the clock.",29999
"I am looking at a 2015 Volkswagen Polo 81 TSI Comfortline. White hatchback, grey interior, automatic, 1.2 L, 4 cyl engine, with 39578 kilometers.",16420
"I have a 2015 Mazda 2 Genki, a red hatchback with automatic transmission, 1.5-liter 4-cylinder engine, grey interior, and a mileage of 105633 km.",16990
"I have a 2002 Nissan Pulsar ST, a blue Nissan Pulsar ST, used. It's a front-wheel drive with an automatic transmission and a 1.8-liter, 4-cylinder engine, having only 16,9981 km.",7880
"I am looking at a 2015 Hyundai Veloster, a white hatchback with black interior. It's an automatic with a 1.6 L, 4 cyl engine, and has done 138263 km.",21995
"I am looking at a 2006 Toyota Corolla Ascent Seca, a silver hatchback with black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has done 238016 km.",5999
"I have a 2014 Audi Q3 2.0 TDI Quattro, white SUV with black interior. It's an automatic with a 2L diesel engine, AWD, and has 73021 km on the odometer.",27995
"There is a used 2010 Holden Cruze CDX in silver, featuring a black interior. It's a 4-cylinder, 2 L diesel, automatic, with a mileage of 106831 km.",8995
"I have a 2012 Hyundai I30 Trophy, red hatchback with a red exterior and 2L 4 cyl engine, front-wheel drive, automatic, and 209552 km on the odometer.",7995
"I am looking at a red Mitsubishi Outlander ES 5 seater, 2.4L 4-cylinder engine, automatic, and AWD. It's clocked 55,1311 km.",30888
"I am looking at a 2022 Toyota Yaris ZR Hybrid, brown with a black interior. It's an automatic with a 1.5 L, 3 cyl engine, and has clocked 17984 km.",39990
"2014 Jeep Grand Cherokee Limited, black, 3 L diesel. It's an automatic with a 4 cyl engine, 5 seats, and has 137763 km on the odometer.",24990
"It's a 2022 Honda CR-V VTI X, grey with grey interior, used. Features include an automatic transmission, 1.5L engine, and 21532 km on the clock.",39990
"It's a 2015 Land Rover Discovery 4 3.0 SDV6 HSE, black with a black interior. Equipped with a 3 L, 4-cylinder diesel engine, automatic, it's clocked 139968 km.",54990
"I am looking at a used blacktown MG 2022.0 ZS Excite. It features a 1.5L 4-cylinder engine, automatic, and has traveled 15 blue with a knight's eyes.",23690
"I am looking at a used 2015 Mitsubishi Triton GLX, silver, diesel. It features a 2.4 L, 4 cyl engine, automatic, and has covered 154276 km.",28990
"I am looking at a 2009 Mercedes-Benz E500 Avantgarde. Black, 5.5L 8 cyl engine, rear drive, automatic, with 98170 km, a used gem.",34990
"I am looking at a used 2013 Kia RIO S, a silver hatchback with grey interior. It features a 1.4 L, 4 cyl engine, automatic, and has covered 131990 km.",11490
"I am looking at a white 2019 Toyota Corolla Ascent Sport, a sleek hatchback. It features an automatic transmission, 2 L, 4-cylinder engine, and has covered 173605 km.",18995
"I am looking at a used 2017 Toyota HiAce LWB, white, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 229,831 km.",34995
"I am looking at a 2010 Holden Commodore Omega, white, cyl 3L engine, rear drive, automatic, with 203500 kilometers, a used gem.",7995
"I am looking at a used 2018 Toyota Hilux SR, white, diesel. It features a 2.8 L, 4 cyl engine, automatic, and has covered 37726 km.",49913
"I am looking at a white 2018 Mazda 3 SP25, a hatchback with black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has 50304 km on the odometer.",23400
"I have a 2018 BMW M140I hatchback, white exterior, black interior. It's an automatic with a 3 L, 6 cyl engine, rear drive, and has 55,823 km.",44990
"I have a 2013 Hyundai Accent Active, a sleek silver exterior. It's an automatic with a 1.6 L, 4 cyl engine, and has clocked only 103629 km.",12995
"I have a 2013 Holden Calais VF Sedan, used. It's an automatic, rear-wheel drive, and has a mileage of 229,899 km.",15800
"I am looking at a used 2015 Jeep Grand Cherokee Laredo. It features a 3 L, 6 cyl diesel engine, automatic, and has covered 92805 km.",23913
"It's a 2005 Mercedes-Benz C200 Kompressor Classic, black with a black interior, used. Features include an automatic transmission, 1.8 L, 4 cyl engine, and only 98800 km on the clock.",9888
"I am looking at a 2009 Holden Commodore SV6. Silver with a black interior, used, it features a 3.6 L, 6 cyl engine, rear drive, and has covered 127994 km.",13990
"I am looking at a black 2015 Subaru Impreza 2.0I-S, a hatchback with a black interior. It's an automatic with a 2 L, 4-cylinder engine, and has 17,1352 km.",15999
"I have a 2015 Mazda BT-50 XT, white hatchback with white interior. It's an automatic with a 3.2 L, 4 cyl engine, and has 31931 km on the odometer.",38800
"I have a 2011 Suzuki Swift GL, a sleek hatchback. It's an automatic with a 1.4 L, 4 cyl engine, and has 158817 km on the odometer.",11800
"I am looking at a 2016 Volkswagen Golf 92 TSI. Grey hatchback, grey interior, automatic, 1.4 L, 4 cyl engine, with 89757 kilometers.",16990
"A 2017 Mitsubishi Pajero GLX is available, blue with grey interior. This used car has an automatic transmission and has logged 151105 km. The engine's specifications are not listed.",36999
"I am looking at a used 2011 Mercedes-Benz E250 CGI Avantgarde. Silver exterior, black interior, automatic transmission, 1.8 L, 4 cyl engine, rear drive, with 120209 km.",18990
"I am looking at a 2011 Holden Commodore Omega, white, cyl 3L engine, rear drive, automatic, with 174239 km, a used gem.",13800
"I am looking at a used 2004 Toyota Camry Sportivo. It features a 2.4 L, 4 cyl engine, automatic, and has covered 95362 km.",12995
"I have a 2018 Toyota C-HR Koba, a white SUV with an automatic transmission. It's a 4-cylinder engine, with 67615 km on the odometer.",32980
"I have a 2017 Peugeot 308 Active, a hatchback in red with a black interior. It's an automatic with a 1.2 L, 3 cyl engine, and has clocked 41522 km.",18777
"I have a 2018 Audi Q2 1.4 Tfsi Design, 1.4L 4 cyl, automatic, front-wheel drive, and 38238 km on the odometer.",35800
"I have a 2018 Kia Sorento SLI, white SUV with a 2.2L diesel engine, automatic, and AWD. It's clocked 157465 km.",28950
"I am looking at a 2017 BMW 218I Active Tourer, white, cyl 1.5L 3 cyl engine, front-wheel drive, automatic, 5 doors, 5 seats.",26800
"I am looking at a used 2017 Hyundai Tucson Elite. It features a 2L diesel engine, automatic, and AWD. It's clocked 5 doors, 5 seats.",28880
"I am looking at a used 2007 Nissan Patrol ST-S, blue, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 165374 km.",32950
"I have a 2020 Hyundai I30 GO hatchback, white exterior, grey interior. It's an automatic with a 2 L, 4-cylinder engine, front-wheel drive, and has 40178 km on the odometer.",26300
"I have a 2010 Honda Accord Euro Euro, a red hatchet with black interior. It's an automatic with a 2.4 L, 4 cyl engine, and has clocked only 191701 kilometers.",10499
"A 2019 Mitsubishi ASX ES is available, white with a grey interior. This 4-door SUV features an automatic gearbox, a 2-liter 4-cylinder engine, and has 43534 km.",25990
"I have a 2015 Nissan Qashqai TI, a white SUV with black interior. It's an automatic with a 2L engine, and has 77936 km on the odometer.",23990
"There is a used 2015 Toyota Landcruiser, white, diesel. It's an automatic with a 4.5 L, 8 cyl engine, 3 doors, 3 seats.",56913
"I have a 2015 Volkswagen Passat 132 TSI Comfortline, a white hatchback with black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 4 doors, 5 seats.",26990
"I am looking at a used 2013 Subaru Forester 2.5I. This black SUV features a 4-cylinder, 2.5L engine, automatic, and has 121608 km on the odometer.",16950
"There is a used 2014 Renault Megane GT-Line in black, featuring a 1.2L engine, automatic transmission, and a stylish grey interior. It's done 112133 kilometers.",13999
"I am looking at a used 2018 Renault Trafic LWB, white, diesel. It features a 1.6 L, 4 cyl engine, automatic, and has covered 3 seats.",31950
"I am looking at a used 2013 Toyota Hilux Ute / Tray. It features a 2.7 L, 4 cyl engine, automatic, rear drive, and has covered 215189 km.",13995
"There is a used 2016 Holden Cruze SRI Z-Series in black, featuring a 1.6 L, 4 cyl engine, automatic, and has covered 139558 km.",12990
"There is a used 2011 Rolls-Royce Ghost Sedan in silver, featuring an automatic gearbox, 6.6 L engine, rear drive, and 45385 km on the odometer.",329990
"I have a 2016 Volkswagen Crafter 35 TDI 340 MWB, white with grey interior. It's a 4-cylinder, 2 L diesel, automatic, with 265837 km.",25995
"I have a 2010 Hyundai I30 SX hatchback, white exterior, grey interior. It's an automatic with a 2 L, 4-cylinder engine, and has 186939 km on the odometer.",10995
"I am looking at a 2015 Kia Cerato S, a white hatchback with black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has done 103354 km.",15888
"I have a 2012 Toyota Tarago GLI, a white 2012 Toyota Tarago GLI, used. It's a front-wheel drive with an automatic transmission and a 2.4 L, 4 cyl engine, having only 115000 km.",22999
"I am looking at a used 2017 Toyota Camry Altise. It features a 2.5 L, 4 cyl engine, automatic, and has covered 97480 km.",23999
"Check out this 2018 Toyota Corolla Ascent Sport in white. It's a hatchback with an automatic transmission, a 2 L, 4 cyl engine, and 82020 kilometers on the clock.",29888
"I am looking at a used 2020 Honda HR-V RS Crimson interior. It features a 1.8L 4-cylinder engine, automatic, and has covered 29007 km.",34990
"I have a 2017 Kia Sportage SI, a white SUV with grey interior. It's an automatic with a 2L engine, front-wheel drive, and has clocked 115759 km.",24990
"I have a 2015 Volkswagen Golf 7 110TDI Highline, grey hatchback. It's an automatic with a diesel engine, and has 168624 km on the odometer.",16800
"I have a 2004 Land Rover Range Rover HSE, a used model with an automatic transmission. It's a diesel with a diesel engine, and has clocked 236221 km.",9999
"I have a 2006 Toyota Camry Altise, a blue hatchback with automatic transmission, 2.4-liter 4-cylinder engine, and 260901 km on the odometer.",6990
"I have a 2018 Hyundai Iload 3S Twin Swing, grey exterior, 2.5L 4 cyl diesel engine, automatic, rear drive, with 57505 km on it.",35995
"I have a 2009 Subaru Impreza WRX, a white 2009 Subaru Impreza WRX, a used model with a diesel 2.5L engine, automatic, and 153891 km on the odometer.",16420
"I am looking at a used 2005 Holden Rodeo LX, white, 3.5L 6 cyl engine, rear drive, in white. It's an automatic with just 16,9587 km.",9913
"I have a 2013 BMW 320D coupe, sleek in black. It's an automatic with a 2 L, 4-cylinder engine, rear drive, and has 170658 km on the odometer.",17890
"I have a 2015 Toyota RAV4 GX, a white SUV with black interior. It's an automatic with a 2L engine, and has clocked 119342 km.",21888
"I have a 2016 Volkswagen Amarok Ute / Tray, blue with black interior. It's a 6-cylinder, 3 L diesel, automatic, with 132194 km.",41950
"There is a used 2017 Holden Astra RS hatchback in red, featuring an automatic gearbox, 1.6 L 4-cylinder engine, grey interior, and 128928 km on the clock.",15984
"I am looking at a 2010 Toyota Kluger KX-R, a white SUV with an automatic transmission, 3.5L engine, and 269287 km on the odometer.",13995
"Check out this 2019 Toyota Corolla ZR, a sleek silver hatchback. It features an automatic transmission, 1.8-liter, 4-cylinder engine, and 60906 km.",35990
"I am looking at a red Nissan X-Trail ST, a used SUV with an efficient 2.5L engine and automatic transmission. It's done 188702, with 188702 km.",14900
"I have a 2017 BMW X1 Sdrive 18D, a sleek brown SUV. It's an automatic with a 2L engine, front-wheel drive, and has 4 cyl 4 doors.",34880
"I have a 2008 Mazda 6 Classic, a red Mazda, 4 cyl 2.5L engine, front-wheel drive, automatic, with 55,676 kilometers on it.",8950
"I have a 2017 Ford Ranger XL 3.2L diesel engine, white with black interior, used. It's an automatic with a 3.2L engine, 4 cyl engine, and has clocked 5 doors, 5 seats.",36990
"I am looking at a used 2009 Hyundai Imax Wagon, silver. It features a 2.4 L, 4 cyl engine, automatic, rear drive, and has 152352 km.",19990
"I am looking at a used 2013 Toyota RAV4 GX, silver. It features a 2.2L diesel engine, automatic, and AWD. It's clocked 165245 km.",16995
"I am looking at a 2012 Toyota Kluger KX-S, a white SUV with black interior. It's got a 3.5L engine, automatic transmission, and has covered just 101222 km.",23990
"There is a used 2018 Holden Colorado LS in white, diesel-powered. It's an automatic with a 2.8 L, 4 cyl engine, 5 seats, 5 seats.",23888
"I have a 2016 Toyota Corolla Ascent, a sleek hatchback. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 74113 km.",24950
"I have a 2012 Holden Captiva 7 LX, a sleek white SUV. It's an automatic with a 3 L, 4-cylinder engine, AWD, and has 121948 km on the odometer.",8999
"I am looking at a 2009 Mercedes-Benz C200 Kompressor Classic, silver with a 1.8 L, 4 cyl engine, rear drive, automatic, with 73989 km, a used gem.",13913
"I have a 2010 Skoda Octavia 103 TDI, grey exterior, 2L 4 cyl diesel engine, automatic, with 81608 km on the odometer.",11880
"I am looking at a 2014 Holden Colorado 7 car, white with white interior, used. It comes with an automatic gearbox, 166136 km - a used model.",23995
"I am looking at a used 2019 Lexus UX200 SUV, white with a black interior. It's got a 2L engine, automatic transmission, and has covered 55,676 km.",43990
"I am looking at a 2009 Hyundai Imax Wagon, grey with a grey interior. It's a 4-cylinder, 2.4 L engine, rear drive, and has 240239 km.",15990
"I have a 2019 Hyundai Tucson Active, a white SUV with grey interior. It's an automatic with a 2L 4-cylinder engine, and has clocked 104066 km.",26990
"I am looking at a 2009 Toyota RAV4 CV, a white SUV with grey interior. It's a 4-door SUV with an automatic transmission, 2.4 L, 4 cyl engine, and has 179643 km.",12990
"I am looking at a red Kia RIO Sport, a used model, with a sleek red interior. It's an automatic, front-wheel drive, and has clocked 67712 km.",21800
"It's a 2019 Skoda Rapid Spaceback, blue, with a 1.4 L, 4 cyl engine, front-wheel drive, automatic, in 19768 km, and has covered 5 seats.",23990
"There is a used 2018 Nissan Navara ST-X in silver, diesel-powered. It's an automatic with a 2.3L engine, 4 cyl engine, and has done 62782 km.",41990
"I have a 2016 Ford Transit 350L MOTOR GROUP, white with a black interior. It's a used model, with 184,3441 km on the clock.",34990
"I am looking at a used 2017 Toyota Hilux SR, white, diesel. It features a 2.8 L, 4 cyl engine, automatic, and has covered 162384 km.",37888
"I have a 2011 Jaguar XF 3.0 V6 Sedan, black with a cream interior. It's an automatic with a 3 L, 4-cylinder engine, rear drive, and has clocked 5 doors.",23950
"A 2017 Mitsubishi ASX LS is available, white with a grey interior. This 4-door SUV features an automatic gearbox, a 2-liter 4-cylinder engine, and has 89044 km on the odometer.",20995
"I am looking at a 2021 Kia Picanto S S, a grey hatchback with black interior. It's an automatic with a 1.2 L, 4 cyl engine, and has 4758 km on the odometer.",20444
"I have a 2015 Toyota RAV4 GX, a white SUV with black interior. It's an automatic with a 2L engine, and has 130569 km on the odometer.",23400
"I have a 2017 Honda Civic Type R, a hatchback in red with a red interior. It's an automatic with a 2 L, 4 cyl engine, and has clocked 88363 km.",49880
"I have a 2007 Toyota RAV4 Cruiser L (4X4), a black SUV with grey interior. It's an automatic with a 2.4L engine, and has 192415 km on the odometer.",10999
"I am looking at a used 2013 Isuzu D-MAX SX, white, diesel. It features a 3 L, 4-cylinder engine, automatic, and has covered 229,807 km.",14913
"I have a 2012 Ford Territory Titanium, a grey exterior, black interior. It's a used model, with a 2.7 L, 6 cyl diesel engine, engine, and has clocked 157563 km.",16999
"I have a 2016 D-MAX SX, white exterior with grey interior. It's a 4-cylinder, 3 L diesel, automatic, with 3 L, 4-cylinder engine, and has 310215 km.",21990
"It's a 2016 Mazda 3 Touring, grey with a black interior, used. Features include an automatic transmission, 2 L, 4 cyl engine, and only 209628 km on the clock.",13995
"I have a 2018 Kia Carnival SLI, a white 2018 Kia Carnival SLI, used. It's a front-wheel drive with an automatic transmission and a 3.3-liter, 6-cylinder engine, having only 76027 km.",41999
"I have a 2011 Kia Cerato Koup SI, a red hatchet with black interior, 2L 4 cyl engine, front-wheel drive, automatic, with 97125 km on it.",11990
"I have a 2019 Mazda 3 G20 Evolve, a hatchback in white with grey interior. It's an automatic with a 2 L, 4 cyl engine, and has 55,676 km.",24888
"There is a used 2009 Toyota Camry Altise in silver, featuring a 2.4 L, 4 cyl engine, automatic, and a mileage of 134916 km.",9990
"I have a 2016 Ford Focus ST2 hatchback, grey exterior and grey interior. It's an automatic with a 2 L, 4 cyl engine, and has 117686 km on the odometer.",26888
"There is a black 2015 Holden Trax, a used SUV with an efficient 1.4L engine and automatic transmission. It's a front-wheel drive with just 146059 km on the odometer.",11995
"I have a 2018 Nissan X-Trail ST 7 seater, grey interior, automatic transmission, 2.5L 4 cyl engine, with 98754 km on the odometer.",24888
"I am looking at a 2014 Holden Commodore SV6. black with a 3.6 L, 6 cyl engine, rear drive, automatic, and 207234 km on the clock.",19995
"I have a 2023 MG ZST Core, MG 2023 MG, blacktown MG, 4 cyl 1.5L engine, front-wheel drive, automatic, 5 doors, 5 seats.",27690
"There is a used 2010 Holden Calais V in silver, featuring a 6 L, 8 cyl engine, automatic, rear drive, with 176052 km on it.",18999
"I have a 2015 Fiat 500 POP, a red hatchback with automatic transmission, 1.2-liter 4-cylinder engine, 79452 km on the odometer.",9800
"I am looking at a 2012 Mazda 2 NEO, a silver hatchback with black interior. It's an automatic with a 1.5 L, 4 cyl engine, and has done 13,9976 km.",12990
"I have a 2015 Volkswagen Golf GTI Performance, a hatchback in grey with a black interior. It's an automatic with a 2 L, 4-cylinder engine, and has clocked 98900 km.",26888
"There's a used 2016 Mercedes-Benz GLA250, black SUV with an automatic transmission. It's equipped with a 2L engine and has done 99459 km.",34950
"I have a 2020 Haval H9 Ultra, a sleek silver SUV. It's an automatic with a 2L 4-cylinder engine, 34291 km on the odometer.",37990
"I have a 2017 Mazda CX-5 Akera, a sleek SUV with an automatic transmission. It's equipped with a 2.5L engine and has done 37811 km.",39990
"I have a 2012 Holden Commodore Equipe, red with a red interior. It's an automatic with a 3 L, 4-cylinder engine, rear drive, and has 181,747 km.",11800
"I have a 2014 Audi Q5 8R TFSI Wagon, white with a white interior. It's an automatic, unspecified engine size, with 171806 km.",19999
"I have a 2020 Ford Ranger XL 2.2L diesel engine, white with black interior, used. It's an automatic with a 2.2L engine, and has 79801 km on the odometer.",46990
"I am looking at a used 2017 Hyundai Iload 3S liftback. White with a black interior, 2.5L diesel engine, automatic, rear drive, with 3 doors, 3 seats.",34990
"I have a 2013 Hyundai I30 Premium, a hatchback in red with a black interior. It's an automatic with a 1.8 L, 4 cyl engine, and has clocked 107647 km.",16880
"I have a 2018 Hyundai I30 Active, a hatchback in white with an automatic transmission. It's an automatic with a 2 L, 4 cyl engine, and has clocked 86144 km.",21990
"I have a 2013 Volvo V60 T4 Wagon, a sleek silver exterior. It's an automatic with a 1.6 L, 4 cyl engine, and has 120720 km on the odometer.",16880
"I have a 2015 Mazda6 Sedan, red with a black interior. It's an automatic with a 2.5 L, 4 cyl engine, and has clocked only 201306 kilometers.",12999
"I am looking at a used 2022 Kia Stonic S SUV, blue with a grey interior. It's got a 1.4L engine, automatic transmission, and has covered 12412 km.",24990
"I have a 2019 Lexus RX300 Luxury + Enhancement Pack, white exterior, black interior. It's an automatic with a 2L 4-cylinder engine, front-wheel drive, and has clocked 41988 km.",52888
"I have a 2015 Subaru XV 2.0I-L SUV, grey exterior, 2L 4 cyl engine, automatic, with 117106 km, a used gem.",21488
"I am looking at a 2014 Toyota Estima Aeras Hybrid, white, black, used. It comes with an automatic gearbox and has traveled 123485 km.",32900
"I have a 2014 Volkswagen Tiguan 118 TSI, a black SUV with grey interior. It's an automatic with a 1.4 L, 4 cyl engine, and has 85601 km on the odometer.",17999
"I am looking at a 2007 Toyota Land Cruiser Prado GXL, white, used. It comes with an automatic gearbox and has traveled 310000 km. Engine details are not specified.",16990
"It's a 2017 Hyundai Accent Sport, white with a black interior, hatchback. Features an automatic transmission, 1.6 L, 4 cyl engine, and 153986 km on the clock.",16995
"I have a 2015 Toyota Camry Atara SX, a sleek silver exterior. It's an automatic with a 2.5 L, 4 cyl engine, and has 70759 km on the odometer.",24990
